capture_us,input
1787986371024577,"ArmNudge { dx: 0, dz: 10 }"
1787986371618549,"Move { vx: 15.0, vy: 0.0 }"
1787986372118137,"Move { vx: 15.0, vy: 0.0 }"
1787986376307754,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986377164538,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986378286739,"ArmNudge { dx: 0, dz: -10 }"
1787986378516264,"ArmNudge { dx: 0, dz: -10 }"
1787986380517058,"AttitudeNudge { axis: 'y', delta: 2.0 }"
1787986381244989,"AttitudeNudge { axis: 'y', delta: -2.0 }"
1787986381551702,"AttitudeNudge { axis: 'y', delta: -2.0 }"
1787986383643637,"Move { vx: 15.0, vy: 0.0 }"
1787986386556747,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986387002936,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986387891776,"ArmNudge { dx: 0, dz: -10 }"
1787986390558041,ClawNudge { delta: 20 }
1787986390978126,ClawNudge { delta: 20 }
1787986391274416,ClawNudge { delta: 20 }
1787986391550025,ClawNudge { delta: 20 }
1787986391970003,ClawNudge { delta: 20 }
1787986392324671,ClawNudge { delta: 20 }
1787986394675721,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986397358837,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986397756864,"AttitudeNudge { axis: 'p', delta: -2.0 }"
1787986398193728,"AttitudeNudge { axis: 'p', delta: -2.0 }"
1787986398552403,"AttitudeNudge { axis: 'p', delta: -2.0 }"
1787986400172885,"ArmNudge { dx: 0, dz: 10 }"
1787986400518093,"ArmNudge { dx: 0, dz: 10 }"
1787986400825332,"ArmNudge { dx: 0, dz: 10 }"
1787986401179583,"ArmNudge { dx: 0, dz: 10 }"
1787986401482432,"ArmNudge { dx: 0, dz: 10 }"
1787986401840024,"ArmNudge { dx: 0, dz: 10 }"
1787986402168807,"ArmNudge { dx: 0, dz: 10 }"
1787986402574106,"ArmNudge { dx: 0, dz: 10 }"
1787986405227789,"Move { vx: 15.0, vy: 0.0 }"
1787986405727848,"Move { vx: 15.0, vy: 0.0 }"
1787986405758120,"Move { vx: 15.0, vy: 0.0 }"
1787986405788367,"Move { vx: 15.0, vy: 0.0 }"
1787986405818367,"Move { vx: 15.0, vy: 0.0 }"
1787986405848732,"Move { vx: 15.0, vy: 0.0 }"
1787986405878551,"Move { vx: 15.0, vy: 0.0 }"
1787986405909531,"Move { vx: 15.0, vy: 0.0 }"
1787986405938897,"Move { vx: 15.0, vy: 0.0 }"
1787986405969691,"Move { vx: 15.0, vy: 0.0 }"
1787986405999009,"Move { vx: 15.0, vy: 0.0 }"
1787986406029549,"Move { vx: 15.0, vy: 0.0 }"
1787986406059645,"Move { vx: 15.0, vy: 0.0 }"
1787986406089597,"Move { vx: 15.0, vy: 0.0 }"
1787986406119240,"Move { vx: 15.0, vy: 0.0 }"
1787986406149907,"Move { vx: 15.0, vy: 0.0 }"
1787986406181071,"Move { vx: 15.0, vy: 0.0 }"
1787986406210769,"Move { vx: 15.0, vy: 0.0 }"
1787986406241115,"Move { vx: 15.0, vy: 0.0 }"
1787986406271845,"Move { vx: 15.0, vy: 0.0 }"
1787986406301025,"Move { vx: 15.0, vy: 0.0 }"
1787986406332529,"Move { vx: 15.0, vy: 0.0 }"
1787986406363386,"Move { vx: 15.0, vy: 0.0 }"
1787986406393887,"Move { vx: 15.0, vy: 0.0 }"
1787986406424004,"Move { vx: 15.0, vy: 0.0 }"
1787986406455591,"Move { vx: 15.0, vy: 0.0 }"
1787986406486071,"Move { vx: 15.0, vy: 0.0 }"
1787986406516966,"Move { vx: 15.0, vy: 0.0 }"
1787986406547828,"Move { vx: 15.0, vy: 0.0 }"
1787986406578195,"Move { vx: 15.0, vy: 0.0 }"
1787986406607203,"Move { vx: 15.0, vy: 0.0 }"
1787986406637450,"Move { vx: 15.0, vy: 0.0 }"
1787986406667329,"Move { vx: 15.0, vy: 0.0 }"
1787986406697481,"Move { vx: 15.0, vy: 0.0 }"
1787986406727855,"Move { vx: 15.0, vy: 0.0 }"
1787986406757876,"Move { vx: 15.0, vy: 0.0 }"
1787986406788053,"Move { vx: 15.0, vy: 0.0 }"
1787986407909615,"Move { vx: 15.0, vy: 0.0 }"
1787986409244730,"Move { vx: 15.0, vy: 0.0 }"
1787986410020482,"AttitudeNudge { axis: 'p', delta: -2.0 }"
1787986410454375,"AttitudeNudge { axis: 'p', delta: -2.0 }"
1787986410909651,"AttitudeNudge { axis: 'p', delta: -2.0 }"
1787986411214838,"Move { vx: 15.0, vy: 0.0 }"
1787986411529290,"Move { vx: 15.0, vy: 0.0 }"
1787986411876926,"Move { vx: 15.0, vy: 0.0 }"
1787986414031343,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986414425752,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986415254811,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986415658365,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986416018526,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986417103925,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986418991146,"ArmNudge { dx: 0, dz: -10 }"
1787986419341746,"ArmNudge { dx: 0, dz: -10 }"
1787986419640827,"ArmNudge { dx: 0, dz: -10 }"
1787986420112897,"ArmNudge { dx: 0, dz: -10 }"
1787986421768541,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986422413812,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986423405845,"Move { vx: -15.0, vy: 0.0 }"
1787986425570028,ClawNudge { delta: 20 }
1787986426490470,ClawNudge { delta: -20 }
1787986426859678,ClawNudge { delta: -20 }
1787986427192338,ClawNudge { delta: -20 }
1787986427439940,ClawNudge { delta: -20 }
1787986427649999,ClawNudge { delta: -20 }
1787986427856647,ClawNudge { delta: -20 }
1787986430457700,"AttitudeNudge { axis: 'p', delta: 2.0 }"
1787986431659322,"Move { vx: -15.0, vy: 0.0 }"
1787986433528929,"AttitudeNudge { axis: 'y', delta: -2.0 }"
1787986433753763,"AttitudeNudge { axis: 'y', delta: -2.0 }"
1787986434830120,"AttitudeNudge { axis: 'y', delta: 2.0 }"
1787986435056838,"AttitudeNudge { axis: 'y', delta: 2.0 }"
1787986435274581,"AttitudeNudge { axis: 'y', delta: 2.0 }"
1787986435779779,"AttitudeNudge { axis: 'y', delta: 2.0 }"
1787986436084327,"AttitudeNudge { axis: 'y', delta: 2.0 }"
1787986439959784,Action(2)
1787986445122764,ToggleRecording
